feature,importance
numeric__max_overdue_days,511.0
numeric__social_score,381.0
numeric__reg_to_apply_days,347.0
numeric__judicial_risk_score,335.0
numeric__telecom_score,319.0
numeric__overdue_history,319.0
numeric__multi_loan_count,264.0
numeric__ecomm_risk_score,250.0
numeric__credit_query_times,232.0
numeric__job_stability,206.0
numeric__debt_income_ratio,195.0
numeric__app_duration,175.0
numeric__consumption_level,172.0
numeric__apply_hour_cos,156.0
numeric__credit_utilization,139.0
numeric__device_risk_score,138.0
numeric__loan_amount_request,126.0
numeric__apply_hour_sin,123.0
numeric__credit_length_months,120.0
numeric__emulator_flag,116.0
numeric__click_frequency,114.0
numeric__income_level,112.0
numeric__blacklist_hit,108.0
numeric__night_activity_ratio,99.0
numeric__age,95.0
numeric__gps_anomaly,94.0
numeric__session_count,67.0
numeric__page_depth,46.0
numeric__apply_weekday_cos,37.0
numeric__apply_weekday_sin,29.0
numeric__ip_change_freq,21.0
categorical__repayment_period_36,16.0
categorical__repayment_period_6,15.0
categorical__device_type_2,14.0
categorical__city_tier_1,13.0
categorical__marital_status_2,10.0
categorical__education_level_1,10.0
categorical__repayment_period_12,9.0
categorical__education_level_5,9.0
categorical__repayment_period_24,7.0
categorical__repayment_period_3,7.0
categorical__device_type_1,7.0
categorical__gender_0,6.0
categorical__marital_status_1,5.0
categorical__device_type_0,5.0
categorical__marital_status_0,4.0
categorical__education_level_4,3.0
categorical__city_tier_2,3.0
categorical__city_tier_3,3.0
categorical__education_level_3,2.0
categorical__city_tier_4,2.0
categorical__education_level_2,1.0
numeric__apply_is_weekend,0.0
categorical__gender_1,0.0
numeric__apply_is_night,0.0
